gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,No,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.30000305175781,2263.39990234375,No
Male,No,Yes,Yes,29,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.0999984741211,2211.800048828125,No
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,19.549999237060547,19.549999237060547,Yes
Female,No,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.0,1683.699951171875,No
Female,No,No,No,58,Yes,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),24.700000762939453,1519.0,No
Female,No,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.0,1164.050048828125,No
Male,No,Yes,No,72,Yes,Yes,No,No,No,No,No,No,Yes,Two year,No,Mailed check,25.399999618530277,1710.9000244140625,No
Male,No,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1500015258789,4245.5498046875,No
Female,No,Yes,No,71,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.89990234375,No
Male,No,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.6500015258789,2664.300048828125,No
Female,No,No,No,26,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.34999847412109,1277.5,No
Male,Yes,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.3499984741211,5589.2998046875,No
Male,No,Yes,Yes,2,Yes,No,No,No,No,No,No,No,Yes,One year,No,Mailed check,20.200000762939453,34.75,No
Male,No,Yes,Yes,61,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),20.549999237060547,1305.949951171875,No
Female,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.94999694824219,381.2999877929688,Yes
Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.34999847412109,141.5,Yes
Male,Yes,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.550048828125,Yes
Male,Yes,Yes,No,9,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,21.25,204.5500030517578,No
Female,No,No,No,22,Yes,Yes,No,No,No,No,No,No,Yes,Two year,No,Mailed check,26.25,605.9000244140625,No
Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.8499984741211,356.1000061035156,No
Female,Yes,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),91.6999969482422,2758.14990234375,Yes
Male,No,No,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.19999694824219,4805.64990234375,No
Female,No,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,3941.699951171875,Yes
Male,No,No,No,5,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,20.350000381469727,92.75,No
Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1901.050048828125,No
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),79.05000305175781,5730.7001953125,No
Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.1500015258789,2423.39990234375,No
Male,No,Yes,Yes,32,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.59999847412109,1653.449951171875,No
Female,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),110.4499969482422,3327.050048828125,No
Male,No,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.0,7085.5,No
Male,Yes,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.3499984741211,3344.10009765625,No
Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.8499984741211,6697.35009765625,No
Female,No,No,No,47,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,65.0,2879.89990234375,No
Female,No,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.44999694824219,137.10000610351562,No
Male,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.5500030517578,1008.5499877929688,Yes
Female,No,Yes,Yes,61,Yes,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Mailed check,24.100000381469727,1551.5999755859375,No
Female,No,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.04999923706055,202.1499938964844,No
Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8000030517578,7882.25,No
Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.9499969482422,8196.400390625,No
Female,Yes,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.05000305175781,202.8999938964844,No
Male,No,Yes,No,48,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Mailed check,19.25,855.0999755859375,No
Female,No,No,No,63,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),90.05000305175781,5817.0,No
Female,No,No,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.70000076293945,1652.949951171875,No
Male,No,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),80.1500015258789,5600.14990234375,No
Male,No,Yes,Yes,7,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.3499984741211,515.75,No
Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.3499984741211,190.5,No
Male,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5500030517578,1842.800048828125,Yes
Male,No,No,No,66,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),19.700000762939453,1253.800048828125,No
Female,No,No,No,3,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,19.850000381469727,57.20000076293945,No
Female,No,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.9000015258789,1269.550048828125,Yes
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),90.3499984741211,6563.39990234375,No
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,20.799999237060547,20.799999237060547,No
Female,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.8499755859373,Yes
Male,No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.30000305175781,208.8500061035156,Yes
Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),66.8499984741211,4758.7998046875,No
Male,No,Yes,Yes,65,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Mailed check,19.899999618530277,1292.5999755859375,No
Female,No,No,No,11,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.79999923706055,363.1499938964844,No
Male,No,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.8499984741211,1600.25,No
Male,No,No,No,14,Yes,No,No,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),20.399999618530277,275.70001220703125,No
Male,No,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.10009765625,No
Male,No,Yes,No,17,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,64.80000305175781,1175.5999755859375,No
Male,No,No,No,11,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),20.450000762939453,237.3000030517578,No
Male,No,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.3499984741211,1444.6500244140625,Yes
Female,No,No,No,1,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,19.899999618530277,19.899999618530277,Yes
Female,No,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,88.9000015258789,454.1499938964844,Yes
Male,No,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8000030517578,3036.75,Yes
Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.6500015258789,8065.64990234375,No
Female,No,Yes,Yes,3,No,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,40.29999923706055,92.5,No
Male,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.6499938964844,Yes
Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,6152.2998046875,No
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.34999847412109,89.5,Yes
Male,No,Yes,Yes,71,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),73.3499984741211,5154.5,No
Female,No,Yes,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.79999923706055,220.4499969482422,No
Male,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,1510.300048828125,No
Female,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.20000076293945,52.20000076293945,Yes
Male,No,No,Yes,63,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.59999847412109,2588.949951171875,No
Female,Yes,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.7998046875,Yes
Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.29999923706055,3983.60009765625,No
Female,No,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.84999847412109,2003.5999755859373,No
Female,No,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4000015258789,1832.4000244140625,No
Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.6500015258789,4908.25,No
Female,No,Yes,Yes,60,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.84999847412109,3590.199951171875,No
Male,No,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9000015258789,5023.0,No
Female,No,Yes,Yes,8,Yes,No,No,No,No,No,No,No,Yes,Two year,Yes,Mailed check,19.850000381469727,146.60000610351562,No
Female,No,No,Yes,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.6500015258789,2339.300048828125,No
Female,No,No,No,6,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45.0,298.70001220703125,No
Male,No,Yes,No,2,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.19999694824219,143.64999389648438,No
Male,No,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.69999694824219,2548.64990234375,No
Female,No,Yes,Yes,20,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),25.549999237060547,507.3999938964844,No
Female,No,Yes,Yes,1,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,20.0,20.0,No
Male,No,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,6125.39990234375,Yes
Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.6500015258789,5411.39990234375,No
Female,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Yes
Male,No,Yes,Yes,39,Yes,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Mailed check,23.799999237060547,903.7999877929688,No
Female,No,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.19999694824219,3009.5,No
Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.3499984741211,489.4500122070313,Yes
Female,No,Yes,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.80000305175781,5468.4501953125,No
Male,No,No,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.20000076293945,1058.0999755859375,No
Male,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.5500030517578,7616.0,No
Male,No,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3000030517578,4113.10009765625,Yes
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55000305175781,69.55000305175781,Yes
Male,No,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.64990234375,Yes
Male,No,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.14990234375,Yes
Female,No,Yes,No,42,Yes,Yes,No,No,No,No,No,No,Yes,Two year,No,Electronic check,25.25,1108.199951171875,No
Male,No,Yes,Yes,34,No,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),30.399999618530277,938.6500244140624,No
Male,Yes,No,No,5,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),20.049999237060547,94.1500015258789,No
Female,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.5999984741211,2088.050048828125,No
Female,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.19999694824219,178.6999969482422,Yes
Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.6999969482422,5656.75,No
Male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.1999969482422,2317.10009765625,Yes
Male,No,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.0,5986.4501953125,No
Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.3499984741211,6751.35009765625,No
Male,No,Yes,Yes,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.1500015258789,3566.60009765625,No
Male,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.0999984741211,4889.2998046875,No
Male,No,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95000076293945,318.1000061035156,No
Female,No,No,No,62,Yes,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),25.799999237060547,1563.949951171875,No
Female,No,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.44999694824219,1430.25,Yes
Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.5999984741211,644.3499755859375,Yes
Female,No,Yes,Yes,14,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,25.549999237060547,372.4500122070313,No
Male,No,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.9499969482422,5453.39990234375,Yes
Male,No,Yes,Yes,34,No,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,44.84999847412109,1442.5999755859375,No
Female,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.5500030517578,5610.7001953125,Yes
Male,No,Yes,Yes,38,Yes,Yes,No,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),25.049999237060547,963.9500122070312,No
Female,No,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.0999984741211,5222.2998046875,No
Female,No,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.80000305175781,3340.550048828125,No
Female,Yes,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.8499984741211,292.79998779296875,Yes
Male,Yes,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.25,5774.5498046875,No
Male,No,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),71.4000015258789,4487.2998046875,No
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.400001525878906,44.400001525878906,Yes
Male,No,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.19999694824219,2854.949951171875,No
Male,No,No,No,44,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),20.399999618530277,905.5499877929688,No
Female,Yes,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.2998046875,Yes
Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.0,7589.7998046875,No
Female,No,Yes,Yes,12,Yes,No,No,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),19.799999237060547,229.6000061035156,Yes
Female,No,No,No,13,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.850000381469727,394.1000061035156,No
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9000015258789,89.9000015258789,Yes
Female,No,Yes,Yes,15,Yes,No,No,No,No,No,No,No,Yes,One year,No,Mailed check,20.549999237060547,295.95001220703125,No
Female,No,No,No,65,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.8499984741211,5459.2001953125,No
Female,No,Yes,Yes,12,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),33.150001525878906,444.75,No
Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.0,6782.14990234375,No
Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.80000305175781,6510.4501953125,No
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.8000030517578,8476.5,No
Male,No,No,Yes,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,85.1500015258789,4461.85009765625,No
Male,No,No,No,2,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,24.850000381469727,62.0,No
Female,No,No,No,5,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.3499984741211,352.6499938964844,No
Female,No,No,No,68,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),20.5,1424.9000244140625,No
Female,No,No,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.1500015258789,6413.64990234375,Yes
Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.05000305175781,6309.64990234375,No
Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.79999923706055,50.79999923706055,Yes
Female,No,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89.0,5898.60009765625,No
Male,No,Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.80000305175781,4719.75,No
Male,No,No,No,26,Yes,No,No,No,No,No,No,No,Yes,One year,No,Credit card (automatic),19.799999237060547,457.2999877929688,No
Male,No,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),93.4000015258789,5822.2998046875,No
Male,Yes,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.6500015258789,1463.5,Yes
Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0999984741211,307.3999938964844,Yes
Male,No,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.6500015258789,2104.550048828125,Yes
Male,No,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.5999984741211,319.1499938964844,Yes
Male,No,Yes,No,62,No,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,2337.449951171875,No
Female,No,No,No,5,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,20.5,104.3000030517578,No
Male,No,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55000305175781,5084.64990234375,Yes
Male,No,No,Yes,3,Yes,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Mailed check,26.399999618530277,121.25,No
Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.1999969482422,7015.89990234375,No
Male,No,Yes,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.5500030517578,5598.0,No
Male,No,No,Yes,66,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),19.950000762939453,1269.0999755859375,No
Female,No,No,No,60,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.79999923706055,3027.39990234375,Yes
Male,No,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.6999969482422,4634.35009765625,No
Female,No,No,No,3,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.79999923706055,113.9499969482422,No
Female,No,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.0999984741211,1582.75,Yes
Female,No,No,Yes,51,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),60.150001525878906,3077.0,No
Female,No,No,No,60,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,64.75,4039.5,No
Male,No,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.650001525878906,1665.199951171875,No
Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.0999984741211,1043.300048828125,Yes
Male,Yes,No,No,26,Yes,No,No,No,No,No,No,No,Yes,One year,No,Credit card (automatic),19.299999237060547,504.2000122070313,No
Female,No,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9000015258789,497.5499877929688,Yes
Female,No,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.25,7511.64990234375,No
Female,No,Yes,Yes,49,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.79999923706055,1782.0,No
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,20.049999237060547,20.049999237060547,No
Female,Yes,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.3499984741211,609.6500244140625,No
Female,Yes,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.5,2857.60009765625,No
Male,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.1999969482422,3247.550048828125,No
Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.5500030517578,6215.35009765625,Yes
Male,No,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.30000305175781,2823.0,No
Male,No,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8499984741211,5017.89990234375,Yes
Male,Yes,No,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.0999984741211,2619.25,No
